bar;Localidad;Nom_localidad;pub;cafe;fast_food;restaurant
20;1;'Localidad Usaquén';11;86;86;298
72;2;'Localidad Chapinero';27;255;151;618
13;3;'Localidad Santa Fé';5;81;49;174
10;4;'Localidad San Cristóbal';0;15;19;55
2;5;'Localidad Usme';0;3;1;8
16;6;'Localidad Tunjuelito';0;16;16;22
11;7;'Localidad Bosa';0;6;40;36
59;8;'Localidad Kennedy';0;45;52;153
15;9;'Localidad Fontibón';3;20;44;93
68;10;'Localidad Engativá';4;110;99;406
62;11;'Localidad Suba';5;55;123;334
12;12;'Localidad Barrios Unidos';2;60;23;185
58;13;'Localidad Teusaquillo';13;139;98;354
12;14;'Localidad Los Mártires';0;19;25;69
27;15;'Localidad Antonio Nariño';1;26;19;44
18;16;'Localidad Puente Aranda';1;38;65;153
20;17;'Localidad La Candelaria';8;78;37;138
7;18;'Localidad Rafael Uribe Uribe';0;10;19;57
8;19;'Localidad Ciudad Bolivar';0;5;31;31
